GSM2099389,11C1_(9503)
GSM2099350,328ME059_(8584)
GSM2099226,ANH_1_(6680)
GSM2328626,ARGE_1_15_(9911)_2
GSM1085191,Aa_0
GSM1085192,Abd_0
GSM2099636,Ace_0_(9817)
GSM2099376,Adal_1_(9321)
GSM2099484,Adam_1_(9609)
GSM2099230,Ag_0_(6897)
GSM1085193,Ag_0
GSM1085194,Ag_0_bud
GSM2099743,Agu_1_(9942)
GSM2099515,Aiell_1_(9646)
GSM2099481,Aitba_1_(9606)
GSM2099740,Aitba_2_(9939)
GSM2099247,Ak_1_(6987)
GSM1085195,Ak_1
GSM2099767,Ale_Stenar_56_14_(997)
GSM2099131,Ale_Stenar_64_24_(1002)
GSM2099133,Aledal_6_49_(1158)
GSM2099248,Alst_1_(6989)
GSM2099593,Alt_1_(9774)
GSM1085196,Altai_5
GSM2328634,Altenb_2_(9970)_2
GSM1085197,Amel_1
GSM2099637,Amu_0_(9819)
GSM1085198,An_1
GSM2099249,Ang_0_(6992)
GSM2099768,Angel_1_(9980)
GSM2099769,Angit_1_(9981)
GSM1085199,Anholt_1
GSM2099250,Ann_1_(6994)
GSM1085200,Ann_1
GSM1085201,Anz_0
GSM2328636,Apost_1_(9982)_2
GSM1085202,Appt_1
GSM2099121,Ara_1_(10015)
GSM2099638,Are_0_(9820)
GSM2099639,Aru_0_(9821)
GSM2099640,Aul_0_(9822)
GSM2099736,BAU_15_(9935)
GSM2099731,BEZ_9_(9928)
GSM2099632,BI_4_(9813)
GSM2099724,BRE_14_(9919)
GSM2099718,BRI_2_(9910)
GSM2099156,BRR60_(506)
GSM2099332,Ba5_1_(8259)
GSM1085203,Ba_1
GSM1085204,Baa_1
GSM2099597,Bach_7_(9778)
GSM2099615,Bach2_1_(9796)
GSM2099641,Bae_0_(9823)
GSM2099598,Bai_10_(9779)
GSM2328637,Bak_2_(9988)_2
GSM2328606,Bak_5_(9121)_2
GSM2099774,Bak_7_(9989)
GSM2099488,Balan_1_(9613)
GSM2099516,Basen_1_(9647)
GSM2099492,Basta_1_(9619)
GSM2099493,Basta_2_(9620)
GSM2099494,Basta_3_(9621)
GSM2099253,Bch_1_(7028)
GSM2099251,Bd_0_(7013)
GSM2099569,Bela_1_(9730)
GSM2099571,Bela_2_(9733)
GSM2099572,Bela_3_(9734)
GSM2328620,Bela_4_(9735)_2
GSM1085205,Benk_1
GSM2099313,Ber_(7458)
GSM2099594,Berg_1_(9775)
GSM2099642,Bes_5_(9824)
GSM2099227,Bg_2_(6709)
GSM2099130,Bg_5_(10026)
GSM2328610,Bijisk_4_(9622)_2
GSM2099587,Bik_1_(9761)
GSM1085206,Bik_1
GSM2099231,Bil_5_(6900)
GSM2099517,Bisig_1_(9648)
GSM2099518,Bivio_1_(9649)
GSM1085207,Bl_1
GSM1085208,Bla_1
GSM2099643,Boa_0_(9825)
GSM2099114,Bolin_1_(10004)
GSM2099333,Boo2_1_(8266)
GSM2099252,Boot_1_(7026)
GSM1085209,Boot_1
GSM2099644,Bor_0_(9826)
GSM2099173,Bor_1_(5837)
GSM1085210,Bor_4
GSM1085211,Bor_4_bud
GSM2328541,Borky1_(428)_2
GSM2099755,Borsk_2_(9957)
GSM2099645,Bos_0_(9827)
GSM2099764,Bozen_1.2_(9972)
GSM1085212,Br_0_bud
GSM2099167,Bra_1_(5717)
GSM2099575,Bran_1_(9738)
GSM2099325,Bro1_6_(8231)
GSM2099132,Brosarp_34_145_(1066)
GSM1085213,Bs_1
GSM1085214,Bsch_0
GSM1085215,Bu_0
GSM2328580,Buckhorn_Pass_(7033)_2
GSM2099254,Bur_0_(7058)
GSM2099232,C24_(6906)
GSM2099738,CATS_6_(9937)
GSM2099377,CHA_41_(932)
GSM2099233,CIBC_17_(6907)
GSM2328569,CIBC_5_(6908)_2
GSM2099719,CON_7_(9913)
GSM2099228,CSHL_5_(6744)
GSM2328539,CYR_(88)
GSM1085216,Ca_0
GSM2328557,Cal_2_(5720)_2
GSM1085217,Cal_0
GSM2328581,Can_0_(7063)
GSM2099648,Cas_0_(9831)
GSM2099536,Castelfed_1_195_(9679)
GSM2099537,Castelfed_2_200_(9684)
GSM2328616,Castelfed_3_205_(9689)
GSM2099538,Castelfed_3_206_(9690)
GSM2099539,Castelfed_3_209_(9693)
GSM2099540,Castelfed_4_210_(9694)
GSM2099541,Castelfed_4_214_(9696)
GSM2099649,Cat_0_(9832)
GSM2099334,Cen_0_(8275)
GSM2099256,Cerv_1_(7068)
GSM2099495,Chaba_1_(9623)
GSM2328611,Chaba_2_(9624)_2
GSM1085218,Chat_1
GSM1085219,Chi_0
GSM2099651,Cho_0_(9834)
GSM2099550,Choto_1_(9705)
GSM2099530,Cimin_1_(9661)
GSM2099652,Cir_0_(9835)
GSM2099770,Ciste_1_(9983)
GSM2099168,Cnt_1_(5726)
GSM1085220,Cnt_1
GSM2328582,Co_(7081)
GSM1085221,Co_1_bud
GSM2099653,Cod_0_(9836)
GSM1085222,Col_0
GSM1085223,Com_1
GSM2099654,Con_0_(9837)
GSM2328643,Copac_1_(10005)
GSM2099519,Corig_1_(9650)
GSM2099655,Cot_0_(9838)
GSM2099656,Coy_0_(9839)
GSM2099255,Ct_1_(7067)
GSM1085224,Cvi_0
GSM2099725,DIR_9_(9920)
GSM2099257,Da_0_(7094)
GSM1085225,Da_1_12
GSM2099657,Dar_0_(9840)
GSM1085226,Db_1
GSM2099122,Del_10_(10016)
GSM2099326,Dem_4_(8233)
GSM2099258,Di_G_(7096)
GSM1085227,Di_G
GSM1085228,Dja_1
GSM2099259,Do_0_(7102)
GSM2099124,Dobra_1_(10018)
GSM2099777,Dog_4_(9992)
GSM2099542,Dolen_1_(9697)
GSM2099545,Dolna_1_10_(9700)
GSM2099744,Don_0_(9944)
GSM2099551,Dospa_1_(9706)
GSM2099148,Doubravnik7_(410)
GSM2099261,Dr_0_(7106)
GSM2099260,Dra_0_(7103)
GSM2099174,Dra_3_(5860)
GSM2328596,DraII_1_(8284)_2
GSM2328564,DraII_6_(5874)_2
GSM2099335,DraIII_1_(8285)
GSM2099176,DraIV_1_11_(5893)
GSM2099175,DraIV_1_8_(5890)
GSM2099177,DraIV_2_9_(5907)
GSM2099178,DraIV_3_7_(5921)
GSM2099179,DraIV_5_12_(5950)
GSM2099180,DraIV_6_13_(5984)
GSM2099181,DraIV_6_22_(5993)
GSM2099149,Draha2_(424)
GSM2328565,Duk_(6008)_2
GSM2099262,Durh_1_(7107)
GSM2328624,ENC_2_1_(9907)_2
GSM2099717,ESP_1_11_(9908)
GSM2099182,Eden_1_(6009)
GSM2328583,Edi_0_(7111)_2
GSM2099373,Edi_1_(9298)
GSM2099183,Eds_9_(6017)
GSM2099658,Ees_0_(9841)
GSM2099234,Ei_2_(6915)
GSM1085229,Ei_2
GSM1085230,El_0
GSM2099659,Elp_0_(9843)
