Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2099389,"11C1 (9503)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099389/suppl",SRX1664735,"Joseph R Ecker","Jul 14, 2016"
GSM2099350,"328ME059 (8584)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099350/suppl",SRX1664696,"Joseph R Ecker","Jul 14, 2016"
GSM2099226,"ANH-1 (6680)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099226/suppl",SRX1664572,"Joseph R Ecker","Jul 14, 2016"
GSM2328626,"ARGE-1-15 (9911)-2","SRA","Arabidopsis thaliana",1,GPL17639,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328626/suppl",SRX2190803,"Joseph R Ecker","Sep 27, 2016"
GSM1085191,"Aa_0","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085191/suppl",SRX248613,"Joseph R Ecker","Mar 07, 2013"
GSM1085192,"Abd_0","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085192/suppl",SRX248614,"Joseph R Ecker","Mar 07, 2013"
GSM2099636,"Ace-0 (9817)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099636/suppl",SRX1664982,"Joseph R Ecker","Jul 14, 2016"
GSM2099376,"Adal 1 (9321)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099376/suppl",SRX1664722,"Joseph R Ecker","Jul 14, 2016"
GSM2099484,"Adam-1 (9609)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099484/suppl",SRX1664830,"Joseph R Ecker","Jul 14, 2016"
GSM2099230,"Ag-0 (6897)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099230/suppl",SRX1664576,"Joseph R Ecker","Jul 14, 2016"
GSM1085193,"Ag_0","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085193/suppl",SRX248615,"Joseph R Ecker","Mar 07, 2013"
GSM1085194,"Ag_0_bud","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085194/suppl",SRX248616,"Joseph R Ecker","Mar 07, 2013"
GSM2099743,"Agu-1 (9942)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099743/suppl",SRX1665089,"Joseph R Ecker","Jul 14, 2016"
GSM2099515,"Aiell-1 (9646)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099515/suppl",SRX1664861,"Joseph R Ecker","Jul 14, 2016"
GSM2099481,"Aitba-1 (9606)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099481/suppl",SRX1664827,"Joseph R Ecker","Jul 14, 2016"
GSM2099740,"Aitba-2 (9939)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099740/suppl",SRX1665086,"Joseph R Ecker","Jul 14, 2016"
GSM2099247,"Ak-1 (6987)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099247/suppl",SRX1664593,"Joseph R Ecker","Jul 14, 2016"
GSM1085195,"Ak_1","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085195/suppl",SRX248617,"Joseph R Ecker","Mar 07, 2013"
GSM2099767,"Ale-Stenar-56-14 (997)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099767/suppl",SRX1665113,"Joseph R Ecker","Jul 14, 2016"
GSM2099131,"Ale-Stenar-64-24 (1002)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099131/suppl",SRX1664477,"Joseph R Ecker","Jul 14, 2016"
GSM2099133,"Aledal-6-49 (1158)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099133/suppl",SRX1664479,"Joseph R Ecker","Jul 14, 2016"
GSM2099248,"Alst-1 (6989)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099248/suppl",SRX1664594,"Joseph R Ecker","Jul 14, 2016"
GSM2099593,"Alt-1 (9774)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099593/suppl",SRX1664939,"Joseph R Ecker","Jul 14, 2016"
GSM1085196,"Altai_5","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085196/suppl",SRX248618,"Joseph R Ecker","Mar 07, 2013"
GSM2328634,"Altenb-2 (9970)-2","SRA","Arabidopsis thaliana",1,GPL17639,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328634/suppl",SRX2190811,"Joseph R Ecker","Sep 27, 2016"
GSM1085197,"Amel_1","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085197/suppl",SRX248619,"Joseph R Ecker","Mar 07, 2013"
GSM2099637,"Amu-0 (9819)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099637/suppl",SRX1664983,"Joseph R Ecker","Jul 14, 2016"
GSM1085198,"An_1","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085198/suppl",SRX248620,"Joseph R Ecker","Mar 07, 2013"
GSM2099249,"Ang-0 (6992)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099249/suppl",SRX1664595,"Joseph R Ecker","Jul 14, 2016"
GSM2099768,"Angel-1 (9980)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099768/suppl",SRX1665114,"Joseph R Ecker","Jul 14, 2016"
GSM2099769,"Angit-1 (9981)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099769/suppl",SRX1665115,"Joseph R Ecker","Jul 14, 2016"
GSM1085199,"Anholt_1","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085199/suppl",SRX248621,"Joseph R Ecker","Mar 07, 2013"
GSM2099250,"Ann-1 (6994)","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2099nnn/GSM2099250/suppl",SRX1664596,"Joseph R Ecker","Jul 14, 2016"
GSM1085200,"Ann_1","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085200/suppl",SRX248622,"Joseph R Ecker","Mar 07, 2013"
GSM1085201,"Anz_0","SRA","Arabidopsis thaliana",1,GPL11221,GSE43857,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1085nnn/GSM1085201/suppl",SRX248623,"Joseph R Ecker","Mar 07, 2013"
