tg_ecotypeid,name,CS_number,country,latitude,longitude,collector,seq_by
88,CYR,CS76790,FRA,47.4,0.683333,Valerie Le Corre,Monsanto
108,LDV_18,CS77013,FRA,48.5167,4.06667,Valerie Le Corre,Monsanto
139,LDV_46,CS77014,FRA,48.5167,4.06667,Valerie Le Corre,Monsanto
159,MAR2_3,CS77070,FRA,47.35,3.93333,Valerie Le Corre,Monsanto
265,PYL_6,CS77198,FRA,44.65,1.16667,Valerie Le Corre,Monsanto
350,TOU_A1_88,CS77382,FRA,46.6667,4.11667,Fabrice Roux,Monsanto
351,TOU_A1_89,CS77383,FRA,46.6667,4.11667,Fabrice Roux,Monsanto
403,Zdarec3,CS78873,CZE,49.3667,16.2667,Marie-Theres Hauser,Monsanto
410,Doubravnik7,CS76808,CZE,49.4211,16.3497,Marie-Theres Hauser,Monsanto
424,Draha2,CS76812,CZE,49.4112,16.2815,Marie-Theres Hauser,Monsanto
428,Borky1,CS76718,CZE,49.403,16.232,Marie-Theres Hauser,Monsanto
430,Gr_1,CS76496,AUT,47,15.5,Albert Kranz,Salk
470,BRR4,CS78943,USA,40.8313,87.735,Diane Byers,MPI
476,BRR12,CS78944,USA,40.8313,87.735,Diane Byers,MPI
484,BRR23,CS78945,USA,40.8313,87.735,Diane Byers,MPI
504,BRR57,CS78946,USA,40.8313,87.735,Diane Byers,MPI
506,BRR60,CS78947,USA,40.8313,87.735,Diane Byers,MPI
531,BRR107,CS78948,USA,40.8313,87.735,Diane Byers,MPI
544,LI_WP_039,CS78949,USA,40.9076,73.2089,Oliver Bossdorf,MPI
546,LI_WP_041,CS78950,USA,40.9076,73.2089,Oliver Bossdorf,MPI
628,LI_OF_061,CS78951,USA,40.7777,72.9069,Oliver Bossdorf,MPI
630,LI_OF_065,CS77036,USA,40.7777,72.9069,Oliver Bossdorf,Monsanto
680,LI_RR_096,CS78952,USA,40.9447,72.8615,Oliver Bossdorf,MPI
681,LI_RR_097,CS78953,USA,40.9447,72.8615,Oliver Bossdorf,MPI
685,LI_EF_011,CS78954,USA,40.9064,73.1493,Oliver Bossdorf,MPI
687,LI_EF_018,CS78955,USA,40.9064,73.1493,Oliver Bossdorf,MPI
728,LI_SET_019,CS78956,USA,40.9352,73.114,Oliver Bossdorf,MPI
742,LI_SET_036,CS78957,USA,40.9352,73.114,Oliver Bossdorf,MPI
763,Kar_1,CS76522,KGZ,42.3,74.3667,Olivier Loudet,Salk
765,Sus_1,CS76607,KGZ,42.1833,73.4,Olivier Loudet,Salk
766,Dja_1,CS76473,KGZ,42.5833,73.6333,Olivier Loudet,Salk
768,Zal_1,CS76634,KGZ,42.8,76.35,Olivier Loudet,Salk
772,Neo_6,CS76560,TJK,37.35,72.4667,Olivier Loudet,Salk
801,KYC_33,CS76992,USA,37.9169,84.4639,Kathleen Donohue,Monsanto
853,MIA_1,CS78958,USA,41.7976,86.6691,Kathleen Donohue,MPI
854,MIA_5,CS78959,USA,41.7976,86.6691,Kathleen Donohue,MPI
867,MIC_20,CS78960,USA,41.8266,86.4366,Kathleen Donohue,MPI
868,MIC_24,CS78961,USA,41.8266,86.4366,Kathleen Donohue,MPI
870,MIC_31,CS77082,USA,41.8266,86.4366,Kathleen Donohue,Monsanto
915,LIN_S_5,CS77040,USA,41.8972,71.4378,Kathleen Donohue,Monsanto
932,CHA_41,CS76765,USA,42.3634,71.1445,Kathleen Donohue,Monsanto
991,Ale_Stenar_41_1,CS76651,SWE,55.3833,14.05,Jon Ågren,GMI
992,Ale_Stenar_44_4,CS76652,SWE,55.3833,14.05,Jon Ågren,GMI
997,Ale_Stenar_56_14,CS76653,SWE,55.3833,14.05,Jon Ågren,GMI
1002,Ale_Stenar_64_24,CS76654,SWE,55.3833,14.05,Jon Ågren,GMI
1006,Ale_Stenar_77_31,CS77636,SWE,55.3833,14.05,Jon Ågren,GMI
1061,Brösarp_11_135,CS76727,SWE,55.7167,14.1333,Jon Ågren,GMI
1062,Brösarp_15_138,CS76728,SWE,55.7167,14.1333,Jon Ågren,GMI
1063,Brösarp_21_140,CS76729,SWE,55.7167,14.1333,Jon Ågren,GMI
1066,Brösarp_34_145,CS76730,SWE,55.7167,14.1333,Jon Ågren,GMI
1070,Brösarp_45_153,CS77643,SWE,55.7167,14.1333,Jon Ågren,GMI
1158,Aledal_6_49,CS76656,SWE,56.7,16.5167,Jon Ågren,GMI
1166,Aledal_14_73,CS77651,SWE,56.7,16.5167,Jon Ågren,GMI
1254,Tos_82_387,CS77379,SWE,59.4333,17.0167,Jon Ågren,GMI
1257,Tos_95_393,CS77380,SWE,59.4333,17.0167,Jon Ågren,GMI
1313,Ängsö_59_422,CS77658,SWE,59.5667,16.8667,Jon Ågren,GMI
1317,Ängsö_74_430,CS76665,SWE,59.5667,16.8667,Jon Ågren,GMI
1552,Sku_30,CS77251,SWE,63.0833,18.3667,Jon Ågren,GMI
1612,Brn_10,CS78962,USA,41.9,86.583,Diane Byers,MPI
1622,Brn_24,CS78963,USA,41.9,86.583,Diane Byers,MPI
1651,DuckLkSP38,CS78964,USA,43.3431,86.4045,Diane Byers,MPI
1652,DuckLkSP40,CS78965,USA,43.3431,86.4045,Diane Byers,MPI
1676,Haz_2,CS78966,USA,41.879,86.607,Diane Byers,MPI
1684,Haz_10,CS78967,USA,41.879,86.607,Diane Byers,MPI
1739,KBS_Mac_68,CS78968,USA,42.405,85.398,Diane Byers,MPI
1741,KBS_Mac_74,CS78969,USA,42.405,85.398,Diane Byers,MPI
1756,Ker_4,CS78970,USA,42.184,86.358,Diane Byers,MPI
1757,Ker_5,CS78971,USA,42.184,86.358,Diane Byers,MPI
1793,L_R_5,CS78972,USA,41.847,86.67,Diane Byers,MPI
1797,L_R_10,CS78973,USA,41.847,86.67,Diane Byers,MPI
1819,Lak_12,CS78974,USA,41.8,86.67,Diane Byers,MPI
1820,Lak_13,CS78975,USA,41.8,86.67,Diane Byers,MPI
1829,Mdn_1,CS77077,USA,42.051,86.509,Diane Byers,Monsanto
1834,Mdn_8,CS78976,USA,42.051,86.509,Diane Byers,MPI
1835,Mdn_10,CS78977,USA,42.051,86.509,Diane Byers,MPI
1851,MNF_Pot_10,CS78978,USA,43.595,86.2657,Diane Byers,MPI
1852,MNF_Pot_15,CS78979,USA,43.595,86.2657,Diane Byers,MPI
1853,MNF_Pot_21,CS77099,USA,43.595,86.2657,Diane Byers,Monsanto
1872,MNF_Pot_75,CS77100,USA,43.595,86.2657,Diane Byers,Monsanto
1890,MNF_Riv_21,CS77101,USA,43.5139,86.1859,Diane Byers,Monsanto
1925,MNF_Che_2,CS77096,USA,43.5251,86.1843,Diane Byers,Monsanto
1942,MNF_Che_47,CS78980,USA,43.5251,86.1843,Diane Byers,MPI
1943,MNF_Che_49,CS78981,USA,43.5251,86.1843,Diane Byers,MPI
1954,MNF_Jac_12,CS77097,USA,43.5187,86.1739,Diane Byers,Monsanto
2016,MNF_Pin_39,CS77098,USA,43.5356,86.1788,Diane Byers,Monsanto
2017,MNF_Pin_40,CS78982,USA,43.5356,86.1788,Diane Byers,MPI
2031,Map_8,CS78983,USA,42.166,86.412,Diane Byers,MPI
2053,Map_35,CS78984,USA,42.166,86.412,Diane Byers,MPI
2057,Map_42,CS77732,USA,42.166,86.412,Diane Byers,MPI
2081,MuskSP_68,CS78985,USA,43.2483,86.3368,Diane Byers,MPI
2091,MuskSP_83,CS78986,USA,43.2483,86.3368,Diane Byers,MPI
2106,MSGA_10,CS78987,USA,43.2749,86.0891,Diane Byers,MPI
2108,MSGA_12,CS78988,USA,43.2749,86.0891,Diane Byers,MPI
2141,MSGA_61,CS78989,USA,43.2749,86.0891,Diane Byers,MPI
2159,Paw_13,CS78990,USA,42.148,86.431,Diane Byers,MPI
2166,Paw_20,CS78991,USA,42.148,86.431,Diane Byers,MPI
2171,Paw_26,CS77164,USA,42.148,86.431,Diane Byers,Monsanto
2191,Pent_7,CS78992,USA,43.7623,86.3929,Diane Byers,MPI
2202,Pent_23,CS77168,USA,43.7623,86.3929,Diane Byers,Monsanto
2212,Pent_46,CS78993,USA,43.7623,86.3929,Diane Byers,MPI
2239,Riv_25,CS78994,USA,42.184,86.382,Diane Byers,MPI
2240,Riv_26,CS78995,USA,42.184,86.382,Diane Byers,MPI
