GSM1085191,Aa_0
GSM1085192,Abd_0
GSM1085193,Ag_0
GSM1085194,Ag_0_bud
GSM1085195,Ak_1
GSM1085196,Altai_5
GSM1085197,Amel_1
GSM1085198,An_1
GSM1085199,Anholt_1
GSM1085200,Ann_1
GSM1085201,Anz_0
GSM1085202,Appt_1
GSM1085203,Ba_1
GSM1085204,Baa_1
GSM1085205,Benk_1
GSM1085206,Bik_1
GSM1085207,Bl_1
GSM1085208,Bla_1
GSM1085209,Boot_1
GSM1085210,Bor_4
GSM1085211,Bor_4_bud
GSM1085212,Br_0_bud
GSM1085213,Bs_1
GSM1085214,Bsch_0
GSM1085215,Bu_0
GSM1085216,Ca_0
GSM1085217,Cal_0
GSM1085218,Chat_1
GSM1085219,Chi_0
GSM1085220,Cnt_1
GSM1085221,Co_1_bud
GSM1085222,Col_0
GSM1085223,Com_1
GSM1085224,Cvi_0
GSM1085225,Da_1_12
GSM1085226,Db_1
GSM1085227,Di_G
GSM1085228,Dja_1
GSM1085229,Ei_2
GSM1085230,El_0
GSM1085231,Ema_1
GSM1085232,Ema_1_bud
GSM1085233,En_D
GSM1085234,Es_0
GSM1085235,Est
GSM1085236,Et_0
GSM1085237,Fi_0
GSM1085238,Fr_2
GSM1085239,Fr_2_bud
GSM1085240,Ga_0
GSM1085241,Gel_1
GSM1085242,Gie_0
GSM1085243,Gifu_2
GSM1085244,Got_7
GSM1085245,Gr_1
GSM1085246,Gre_0
GSM1085247,Gu_0
GSM1085248,Gy_0
GSM1085249,Ha_0
GSM1085250,Hey_1
GSM1085251,HR_5_bud
GSM1085252,Hs_0
GSM1085253,In_0
GSM1085254,Is_0
GSM1085255,Is_0_bud
GSM1085256,Je_0
GSM1085257,Jm_0
GSM1085258,Kas_1
GSM1085259,Kelsterbach_4
GSM1085260,Kil_0
GSM1085261,Kin_0
GSM1085262,Kin_0_bud
GSM1085263,Kl_5
GSM1085264,Knox_18
GSM1085265,Kondara
GSM1085266,Kro_0
GSM1085267,Krot_0
GSM1085268,Kyoto
GSM1085269,Kz_9
GSM1085270,La_0
GSM1085271,Lan_0
GSM1085272,Ler_1
GSM1085273,Li_2_1_bud
GSM1085274,Litva
GSM1085275,Litva_bud
GSM1085276,Lm_2
GSM1085277,Lp2_2
GSM1085278,Mc_0
GSM1085279,Mh_0_bud
GSM1085280,Ms_0_bud
GSM1085281,Mz_0_bud
GSM1085282,Nc_1_bud
GSM1085283,Neo_6_bud
GSM1085284,Nok_3_bud
GSM1085285,Np_0_bud
GSM1085286,Nw_0_bud
GSM1085287,Ob_0_bud
GSM1085288,Old_1_bud
GSM1085289,Ove_0_bud
GSM1085290,Per_1
GSM1085291,Pi_0
GSM1085292,Pla_0_bud
GSM1085293,Pna_17_bud
GSM1085294,Pog_0_bud
GSM1085295,Pro_0_bud
GSM1085296,Pt_0
GSM1085297,Pu2_23
GSM1085298,Pu2_23_bud
GSM1085299,Pu2_7_bud
GSM1085300,Ra_0
GSM1085301,Ragl_1
GSM1085302,Ragl_1_bud
GSM1085303,Rd_0
GSM1085304,Rennes_1_bud
GSM1085305,Rld_1_bud
GSM1085306,Rmx_A02_bud
GSM1085307,Rome_1_bud
GSM1085308,RRS_7
GSM1085309,Rubezhnoe_1_bud
GSM1085310,Se_0_bud
GSM1085311,Seattle_0
GSM1085312,Sei_0_bud
GSM1085313,Sg_1
GSM1085314,Si_0
GSM1085315,Sorbo_bud
GSM1085316,Sp_0_bud
GSM1085317,Sq_8_bud
GSM1085318,Stw_0
GSM1085319,Su_0
GSM1085320,Sus_1_bud
GSM1085321,Ta_0_bud
GSM1085322,Tamm_2_bud
GSM1085323,Tol_0_bud
GSM1085324,Tscha_1_bud
GSM1085325,Tu_0_bud
GSM1085326,Ty_0_bud
GSM1085327,Uk_1
GSM1085328,Uk_1_bud
GSM1085329,Uod_1_bud
GSM1085330,Utrecth_bud
GSM1085331,Van_0_bud
GSM1085332,Vind_1
GSM1085333,Wa_1
GSM1085334,Westkar_4
GSM1085335,Wl_0_bud
GSM1085336,Ws_2_bud
GSM1085337,Wt_5
GSM1085338,Yo_0
GSM1085339,Zdr_1
GSM1085340,Zdr_1_bud
GSM1108100,Er_0
GSM1108101,Er_0_bud
GSM2099113,TueV_13(10001)
GSM2099114,Bolin_1(10004)
GSM2099115,Kastel_1(10006)
GSM2099116,Sij_2(10009)
GSM2099117,Sij_4(10010)
GSM2099118,Yeg_1(10011)
GSM2099119,Lerik1_3(10013)
GSM2099120,Xan_1(10014)
GSM2099121,Ara_1(10015)
GSM2099122,Del_10(10016)
GSM2099123,Petro_1(10017)
GSM2099124,Dobra_1(10018)
GSM2099125,Jl_2(10020)
GSM2099126,Hl_0(10021)
GSM2099127,Uk_3(10022)
GSM2099128,Strand_1(10023)
GSM2099129,Tnz_1(10024)
GSM2099130,Bg_5(10026)
GSM2099131,Ale_Stenar_64_24(1002)
GSM2099132,Brosarp_34_145(1066)
GSM2099133,Aledal_6_49(1158)
GSM2099134,Rod_17_319(1435)
GSM2099135,MAR2_3(159)
GSM2099136,Mdn_1(1829)
GSM2099137,MNF_Riv_21(1890)
GSM2099138,MNF_Che_2(1925)
GSM2099139,MNF_Jac_12(1954)
GSM2099140,MNF_Pin_39(2016)
GSM2099141,Pent_23(2202)
GSM2099142,SLSP_35(2278)
GSM2099143,Ste_40(2317)
GSM2099144,PYL_6(265)
GSM2099145,TOU_A1_88(350)
GSM2099146,TOU_A1_89(351)
GSM2099147,Zdarec3(403)
GSM2099148,Doubravnik7(410)
GSM2099149,Draha2(424)
GSM2099150,Gr_1(430)
GSM2099151,UKSW06_207(4807)
GSM2099152,UKSW06_285(4884)
